Rk,G,Date,TEAM,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
7,7,43037,BRK,,DEN,L,114.9,114.78,40.3,89.74,0.44834,11.86,33,0.36018,22.44,29.66,0.75152,11.76,44.68,22.24,9.92,4.46,16.04,22.9
7,7,43040,MIA,,CHI,W,104.82,107.26,40.5,85.28,0.47374,10.26,31.18,0.32468,13.56,17.72,0.7651,7.96,41.24,20.2,7.48,6.54,16.34,22.32
7,7,43040,WAS,,PHO,L,110.6,105.92,39.92,87.92,0.45732,9.94,27.28,0.35418,20.82,26.68,0.76574,9.98,42.18,24.98,10.34,5.22,14.24,20.12
7,7,43038,CHO,@,MEM,W,103.4,101.14,37.36,84.56,0.43966,9.78,28.72,0.33922,18.9,28.12,0.66592,10.46,50.88,18.7,4.88,4.96,15,18.06
7,7,43038,ORL,@,NOP,W,117.58,108.74,43.12,88.18,0.4909,12.82,28.68,0.44088,18.52,23.18,0.7716,8.52,44.26,25.24,8.62,5.3,14.78,24.28
7,7,43037,ATL,,MIL,L,95.82,105.36,35.26,87.3,0.4065,8.9,26.1,0.34876,16.4,18.78,0.8676,9.38,42.42,19.62,8.84,3.32,14.26,22.82
7,7,43038,POR,,TOR,L,109.4,100.74,37.84,88.74,0.42534,11.18,26.48,0.427,22.54,27,0.8287,14.18,50.84,19.7,7,6,13.32,24.04
7,7,43039,OKC,@,MIL,W,106.44,99.9,40.6,87.52,0.4624,10.48,30.84,0.33962,14.76,20.48,0.70938,11.12,41.34,22.68,10.88,6.94,15.22,22.5
7,7,43038,MIN,,DAL,W,92.8,94.3,35.84,77.92,0.46008,8.56,26.58,0.32296,12.56,16.18,0.78276,8.12,41.82,21.2,9,6.8,19.44,20.68
7,7,43038,UTA,@,MIA,W,107.2,115.06,39.7,84.74,0.46782,8.6,23.42,0.36682,19.2,24.68,0.77768,10.24,39.28,22.2,7.12,3.42,14.88,17.3
